date,app_type,provider_id,model,requests,success,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,cost_usd
2026-08-11,codex,_codex_session,gpt-5.6-sol,83,83,7105945,47925,5996999,0,9.98098
2026-08-12,claude,_session,grok-4.5,3,3,2882,1243,1984,0,0.013817
2026-08-12,codex,_codex_session,gpt-5.6-sol,495,495,60620286,297083,54160209,0,68.29298
2026-08-13,codex,_codex_session,gpt-5.6-sol,498,498,61837445,438428,50515854,0,95.018722
2026-08-14,codex,_codex_session,gpt-5.6-sol,104,104,7412319,47587,6434048,0,9.535989
2026-08-17,codex,_codex_session,gpt-5.6-sol,109,109,12817921,47477,9029120,0,24.882875
2026-08-18,codex,_codex_session,gpt-5.6-sol,58,58,8119097,39198,4098304,0,23.329057
2026-08-19,claude,_session,claude-opus-5,226,226,100345,135671,23214550,2963914,34.025238
2026-08-19,claude,_session,claude-sonnet-4-6,13,13,39,3859,309766,27781,0.255111
2026-08-19,claude,_session,claude-sonnet-5,11,11,51199,4134,73030,7702,0.266398
2026-08-19,codex,_codex_session,gpt-5.6-sol,204,204,16723825,104937,14225664,0,22.751747
2026-08-20,claude,_session,claude-opus-5,267,267,42949,108760,26528481,2423726,31.346273
2026-08-21,claude,_session,claude-opus-5,264,264,148880,121266,27059674,1614311,27.395331
2026-08-22,claude,_session,claude-opus-5,160,160,20957,104873,12298815,1589837,18.812499
2026-08-24,claude,_session,claude-opus-5,236,236,338539,234142,23810931,1611798,29.525448
2026-08-25,claude,_session,claude-opus-5,524,524,6303141,259401,32156302,5015016,85.422731
2026-08-25,pi,anthropic,claude-opus-4-8,1,0,0,0,0,0,0.0
2026-08-25,pi,claude-awsq,claude-opus-5,19,18,11346,2375,95258,39359,0.409728
2026-08-25,pi,claude-awsq,claude-sonnet-5,2,2,14,418,160,6768,0.03174
2026-08-26,claude,_session,claude-opus-5,964,964,413434,594234,94475409,3703279,87.306218
2026-08-27,claude,_session,claude-opus-5,621,621,1231396,272104,64855896,3599531,67.884597
2026-08-28,claude,_session,claude-opus-5,780,780,4649226,490957,72817980,3272820,92.38417
2026-08-30,claude,_session,claude-opus-5,116,116,221230,149708,11548453,1562252,20.387152
2026-08-31,claude,_session,claude-opus-5,101,101,2648375,83698,5164860,1797271,29.149699
2026-09-01,claude,_session,claude-opus-5,216,216,488394,131676,19183661,3735877,38.674932
2026-09-02,claude,_session,claude-opus-5,241,241,1067453,94983,21874706,2203003,32.417962
2026-09-03,claude,_session,claude-opus-5,673,673,481109,287174,59692996,3473549,61.141074
2026-09-04,claude,_session,claude-opus-5,925,925,6278851,282505,71100821,3897941,98.369422
2026-09-05,claude,_session,claude-opus-5,415,415,72694,221243,42320108,2682751,43.821793
2026-09-05,claude,_session,glm-5.3-flash,29,29,204642,52485,1640704,0,0.0
2026-09-05,codex,_codex_session,gpt-5.6-sol,231,231,20947934,339473,18012470,0,33.867745
2026-09-06,claude,_session,claude-opus-5,581,581,6262661,256650,41402962,3493865,80.267692
2026-09-06,claude,_session,glm-5.3,64,64,203836,146461,5677632,0,0.0
2026-09-06,claude,_session,glm-5.3-flash,4,4,103087,7405,294720,0,0.0
2026-09-06,claude,_session,qwen3.8-max,56,56,336,57188,3633946,188612,1.723817
2026-09-06,codex,_codex_session,gpt-5.6-sol,35,35,809180,7961,676864,0,1.238842
2026-09-07,claude,_session,claude-opus-5,296,296,2814653,67339,15303998,765449,28.192795
