session_file,ts,model,input,output,cached,thoughts,tool,total
session-2026-09-05T15-51-c2b2f9b2.jsonl,2026-09-05T15:51:09.732Z,gemini-3.5-flash,11043,9,0,122,0,11174
session-2026-09-05T15-51-c2b2f9b2.jsonl,2026-09-05T15:52:07.815Z,gemini-3.5-flash,11057,53,0,184,0,11294
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:57:21.596Z,gemini-3.5-flash,11245,108,0,149,0,11502
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:57:24.161Z,gemini-3.5-flash,14851,18,0,242,0,15111
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:57:26.049Z,gemini-3.5-flash,14956,125,0,74,0,15155
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:57:31.283Z,gemini-3.5-flash,15242,60,0,38,0,15340
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:57:39.080Z,gemini-3.5-flash,15659,18,0,1836,0,17513
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:57:40.943Z,gemini-3.5-flash,15752,32,0,49,0,15833
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:57:42.741Z,gemini-3.5-flash,15860,33,0,0,0,15893
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:57:51.043Z,gemini-3.5-flash,16038,346,0,1880,0,18264
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:57:58.693Z,gemini-3.5-flash,16558,334,0,0,0,16892
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:58:04.591Z,gemini-3.5-flash,16955,337,12163,0,0,17292
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:58:08.013Z,gemini-3.5-flash,17429,133,0,0,0,17562
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:58:12.933Z,gemini-3.5-flash,17615,385,12159,0,0,18000
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:58:16.172Z,gemini-3.5-flash,18170,105,12159,0,0,18275
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:58:19.701Z,gemini-3.5-flash,18340,367,16209,0,0,18707
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:58:43.259Z,gemini-3.5-flash,18785,7685,16207,0,0,26470
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:58:45.172Z,gemini-3.5-flash,34175,51,16280,21,0,34247
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:59:11.064Z,gemini-3.5-flash,39576,319,16291,1436,0,41331
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:59:17.382Z,gemini-3.5-flash,39943,788,32580,0,0,40731
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:59:28.260Z,gemini-3.5-flash,41069,252,36653,756,0,42077
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:59:33.870Z,gemini-3.5-flash,41419,372,36649,0,0,41791
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:59:41.067Z,gemini-3.5-flash,41871,224,36646,0,0,42095
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:59:47.162Z,gemini-3.5-flash,42143,826,36643,0,0,42969
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T15:59:54.159Z,gemini-3.5-flash,43064,785,40714,0,0,43849
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:00:00.596Z,gemini-3.5-flash,43935,308,40713,0,0,44243
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:00:07.303Z,gemini-3.5-flash,44868,108,36641,1433,0,46409
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:00:14.063Z,gemini-3.5-flash,45024,1631,40708,0,0,46655
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:00:25.035Z,gemini-3.5-flash,47012,134,44785,373,0,47519
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:00:31.914Z,gemini-3.5-flash,47196,165,44780,0,0,47361
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:00:53.890Z,gemini-3.5-flash,47447,8124,44776,0,0,55571
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:01:00.802Z,gemini-3.5-flash,63290,55,44836,25,0,63370
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:01:29.733Z,gemini-3.5-flash,68742,35,61158,279,0,69056
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:01:36.664Z,gemini-3.5-flash,68854,2154,65230,0,0,71008
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:01:41.629Z,gemini-3.5-flash,72121,57,65232,18,0,72196
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:02:09.279Z,gemini-3.5-flash,77575,162,69326,25,0,77762
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:02:16.183Z,gemini-3.5-flash,77899,1164,73400,0,0,79063
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:09:37.836Z,gemini-3.5-flash,79069,3696,0,853,0,83618
session-2026-09-05T15-56-a12cece3.jsonl,2026-09-05T16:09:42.178Z,gemini-3.5-flash,86481,448,0,49,0,86978
