request_id,provider_id,app_type,model,request_model,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,input_cost_usd,output_cost_usd,cache_read_cost_usd,cache_creation_cost_usd,total_cost_usd,latency_ms,first_token_ms,duration_ms,status_code,error_message,session_id,provider_type,is_streaming,cost_multiplier,created_at,data_source,pricing_model,input_token_semantics
session:msg_202609060242595a85f5a4c3c44b41,_session,claude,glm-5.3-flash,glm-5.3-flash,22325,98,0,0,0,0,0,0,0,0,,,200,,199e19ab-ff00-4d6f-9e5f-8375fdf02695,session_log,1,1.0,1788633784,session_log,,0
session:msg_202609060243217ce2b968986548e0,_session,claude,glm-5.3-flash,glm-5.3-flash,170,205,22272,0,0,0,0,0,0,0,,,200,,199e19ab-ff00-4d6f-9e5f-8375fdf02695,session_log,1,1.0,1788633807,session_log,,0
session:msg_20260906025605e313f422f1f141a7,_session,claude,glm-5.3-flash,glm-5.3-flash,22147,100,64,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788634569,session_log,,0
session:msg_202609060256102228013dbb7246f4,_session,claude,glm-5.3-flash,glm-5.3-flash,3209,24,19264,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788634571,session_log,,0
session:msg_20260906025611a37effee1dca4305,_session,claude,glm-5.3-flash,glm-5.3-flash,2932,2530,22464,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788634641,session_log,,0
session:msg_2026090602573786bff4d2b0554eaf,_session,claude,glm-5.3-flash,glm-5.3-flash,3007,302,25344,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788634661,session_log,,0
session:msg_202609060257564d75f701c7de485a,_session,claude,glm-5.3-flash,glm-5.3-flash,436,704,28288,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788634679,session_log,,0
session:msg_20260906025809099248df858646cb,_session,claude,glm-5.3-flash,glm-5.3-flash,810,60,28672,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788634691,session_log,,0
session:msg_20260906025830e29ed0e8db6c43a8,_session,claude,glm-5.3-flash,glm-5.3-flash,442,18252,29440,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788635239,session_log,,0
session:msg_202609060307222cac85c1c2af4c4d,_session,claude,glm-5.3-flash,glm-5.3-flash,20186,207,29824,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788635246,session_log,,0
session:msg_202609060307284e79342b4d2b49e4,_session,claude,glm-5.3-flash,glm-5.3-flash,4231,6570,49984,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788635437,session_log,,0
session:msg_20260906031118f5a131e3b6784506,_session,claude,glm-5.3-flash,glm-5.3-flash,6735,7215,54208,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788635487,session_log,,0
session:msg_20260906031350c64e4fa83084404d,_session,claude,glm-5.3-flash,glm-5.3-flash,7284,10810,60928,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788635749,session_log,,0
session:msg_20260906031719895e80dd377f4a60,_session,claude,glm-5.3-flash,glm-5.3-flash,10918,144,68160,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788635841,session_log,,0
session:msg_20260906031723b4861a1a221d4b80,_session,claude,glm-5.3-flash,glm-5.3-flash,317,61,79040,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788635846,session_log,,0
session:msg_2026090603180798c7044b47874d03,_session,claude,glm-5.3-flash,glm-5.3-flash,829,533,79296,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788635893,session_log,,0
