request_id,provider_id,app_type,model,request_model,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,input_cost_usd,output_cost_usd,cache_read_cost_usd,cache_creation_cost_usd,total_cost_usd,latency_ms,first_token_ms,duration_ms,status_code,error_message,session_id,provider_type,is_streaming,cost_multiplier,created_at,data_source,pricing_model,input_token_semantics
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:1,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,19501,188,11008,0,0.042465,0.00564,0.005504,0,0.053609,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786440664,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:2,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,20479,402,19200,0,0.006395,0.01206,0.0096,0,0.028055,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786440688,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:3,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,23852,838,20224,0,0.01814,0.02514,0.010112,0,0.053392,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786440717,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:4,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,29691,255,23296,0,0.031975,0.00765,0.011648,0,0.051273,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786440736,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:5,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,30138,193,29440,0,0.00349,0.00579,0.01472,0,0.02400,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786440790,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:6,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,30338,364,3840,0,0.13249,0.01092,0.00192,0,0.14533,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786443864,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:7,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,30730,88,29440,0,0.00645,0.00264,0.01472,0,0.02381,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786443902,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:8,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,30857,381,30464,0,0.001965,0.01143,0.015232,0,0.028627,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786443913,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:9,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,31778,139,30464,0,0.00657,0.00417,0.015232,0,0.025972,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786443919,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:10,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,36056,193,3840,0,0.16108,0.00579,0.00192,0,0.16879,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786445245,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:11,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,40968,107,11008,0,0.1498,0.00321,0.005504,0,0.158514,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786445321,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:12,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,41854,169,40704,0,0.00575,0.00507,0.020352,0,0.031172,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786445820,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:13,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,42051,119,41728,0,0.001615,0.00357,0.020864,0,0.026049,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786445833,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:14,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,44720,294,41728,0,0.01496,0.00882,0.020864,0,0.044644,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786445842,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff027-cf52-70a1-ba83-d293c0f43941:15,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,94741,405,82375,0,0.06183,0.01215,0.0411875,0,0.1151675,0,,,200,,019ff027-cf52-70a1-ba83-d293c0f43941,codex_session,1,1.0,1786445915,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:1,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,19838,342,11008,0,0.04415,0.01026,0.005504,0,0.059914,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460287,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:2,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,22874,181,19200,0,0.01837,0.00543,0.0096,0,0.03340,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460297,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:3,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,24982,451,22272,0,0.01355,0.01353,0.011136,0,0.038216,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460319,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:4,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,40397,796,11008,0,0.146945,0.02388,0.005504,0,0.176329,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460351,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:5,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,55946,111,39680,0,0.08133,0.00333,0.01984,0,0.10450,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460357,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:6,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,56090,69,55040,0,0.00525,0.00207,0.02752,0,0.03484,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460365,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:7,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,56217,1068,24320,0,0.159485,0.03204,0.01216,0,0.203685,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460412,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:8,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,57313,40,56064,0,0.006245,0.0012,0.028032,0,0.035477,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460419,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:9,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,75858,891,57088,0,0.09385,0.02673,0.028544,0,0.149124,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460452,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:10,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,76777,39,11008,0,0.328845,0.00117,0.005504,0,0.335519,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460457,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:11,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,77726,79,76544,0,0.00591,0.00237,0.038272,0,0.046552,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460464,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:12,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,93205,577,75520,0,0.088425,0.01731,0.03776,0,0.143495,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460483,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff146-6e5a-7bd2-ad57-34de13fc5ad9:13,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,103949,1654,77568,0,0.131905,0.04962,0.038784,0,0.220309,0,,,200,,019ff146-6e5a-7bd2-ad57-34de13fc5ad9,codex_session,1,1.0,1786460520,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff156-4161-7e41-a818-a60bd5064d16:1,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,16045,148,15232,0,0.004065,0.00444,0.007616,0,0.016121,0,,,200,,019ff156-4161-7e41-a818-a60bd5064d16,codex_session,1,1.0,1786460528,codex_session,gpt-5.6-sol,0
codex_session:thread-v1:019ff156-4161-7e41-a818-a60bd5064d16:2,_codex_session,codex,gpt-5.6-sol,gpt-5.6-sol,17051,170,15744,0,0.006535,0.0051,0.007872,0,0.019507,0,,,200,,019ff156-4161-7e41-a818-a60bd5064d16,codex_session,1,1.0,1786460537,codex_session,gpt-5.6-sol,0
