date,app_type,provider_id,model,request_model,pricing_model,request_count,success_count,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,total_cost_usd,avg_latency_ms,input_token_semantics
2026-03-17,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,52,52,470719,37011,1413888,0,2.0854345,0,2
2026-03-18,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,45,45,309222,33207,1445120,0,1.63244,0,2
2026-03-19,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,53,53,207057,37237,1961472,0,1.5665655,0,2
2026-03-23,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,17,17,132625,7002,451328,0,0.5494245,0,2
2026-03-24,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,41,41,197548,26534,1806848,0,1.343592,0,2
2026-03-31,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,8,8,24338,1575,143232,0,0.120278,0,2
2026-04-13,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,36,36,240675,19275,1280384,0,1.2109085,0,2
2026-04-15,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,107,107,455996,64922,2818176,0,2.818364,0,2
2026-04-16,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,197,197,631579,132226,7717760,0,5.4917775,0,2
2026-04-17,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,66,66,446601,90004,4824448,0,3.6726745,0,2
2026-04-20,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,100,100,465216,83037,5483264,0,3.779411,0,2
2026-04-21,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,175,175,2112186,168754,11565696,0,10.703199,0,2
2026-04-22,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,67,67,263256,81944,4876160,0,3.10634,0,2
2026-04-23,codex,_codex_session,gpt-5.4,gpt-5.4,gpt-5.4,142,142,1060924,170461,10580992,0,7.854473,0,2
2026-07-10,codex,_codex_session,gpt-5.6-sol,gpt-5.6-sol,gpt-5.6-sol,310,310,2178891,203595,34314112,0,34.159361,0,2
2026-07-13,codex,_codex_session,gpt-5.6-sol,gpt-5.6-sol,gpt-5.6-sol,68,68,219827,55977,5912576,0,5.734733,0,2
2026-07-14,codex,_codex_session,gpt-5.6-sol,gpt-5.6-sol,gpt-5.6-sol,281,281,3784423,262701,23039744,0,38.323017,0,2
2026-07-15,codex,_codex_session,gpt-5.6-sol,gpt-5.6-sol,gpt-5.6-sol,224,224,2627142,179765,30127616,0,33.592468,0,2
2026-07-16,codex,_codex_session,gpt-5.6-sol,gpt-5.6-sol,gpt-5.6-sol,88,88,635549,67582,7386624,0,8.898517,0,2
2026-07-17,codex,_codex_session,gpt-5.6-sol,gpt-5.6-sol,gpt-5.6-sol,23,23,147168,26267,803584,0,1.925642,0,2
2026-07-18,codex,_codex_session,gpt-5.6-sol,gpt-5.6-sol,gpt-5.6-sol,14,14,51749,4587,338432,0,0.565571,0,2
2026-07-19,codex,_codex_session,gpt-5.6-sol,gpt-5.6-sol,gpt-5.6-sol,99,99,948732,62708,10226944,0,11.738372,0,2
2026-07-20,codex,_codex_session,gpt-5.6-sol,gpt-5.6-sol,gpt-5.6-sol,102,102,1236647,98960,10155520,0,14.229795,0,2
2026-07-31,codex,_codex_session,gpt-5.6-sol,gpt-5.6-sol,gpt-5.6-sol,27,27,197478,11407,867584,0,1.763392,0,2
2026-08-04,codex,_codex_session,gpt-5.6-sol,gpt-5.6-sol,gpt-5.6-sol,370,370,5178558,163275,41671680,0,51.62688,0,2
