# kind=pos_below_FN  count=20000
i	j	sim	id_i	id_j	path_i	path_j
1917034	1917040	0.136134	38340	38340	test_data/identity_038340/sample_0034.jpg	test_data/identity_038340/sample_0040.jpg
222104	222125	0.136133	4442	4442	test_data/identity_004442/sample_0004.jpg	test_data/identity_004442/sample_0025.jpg
730029	730040	0.136133	14600	14600	test_data/identity_014600/sample_0029.jpg	test_data/identity_014600/sample_0040.jpg
1385464	1385476	0.136133	27709	27709	test_data/identity_027709/sample_0014.jpg	test_data/identity_027709/sample_0026.jpg
1178465	1178486	0.136132	23569	23569	test_data/identity_023569/sample_0015.jpg	test_data/identity_023569/sample_0036.jpg
42752	42755	0.136132	855	855	test_data/identity_000855/sample_0002.jpg	test_data/identity_000855/sample_0005.jpg
938456	938476	0.136132	18769	18769	test_data/identity_018769/sample_0006.jpg	test_data/identity_018769/sample_0026.jpg
30017	30047	0.136132	600	600	test_data/identity_000600/sample_0017.jpg	test_data/identity_000600/sample_0047.jpg
752252	752262	0.136132	15045	15045	test_data/identity_015045/sample_0002.jpg	test_data/identity_015045/sample_0012.jpg
1854941	1854942	0.136132	37098	37098	test_data/identity_037098/sample_0041.jpg	test_data/identity_037098/sample_0042.jpg
50721	50740	0.136132	1014	1014	test_data/identity_001014/sample_0021.jpg	test_data/identity_001014/sample_0040.jpg
1234360	1234362	0.136131	24687	24687	test_data/identity_024687/sample_0010.jpg	test_data/identity_024687/sample_0012.jpg
1610552	1610576	0.136131	32211	32211	test_data/identity_032211/sample_0002.jpg	test_data/identity_032211/sample_0026.jpg
1726952	1726976	0.136130	34539	34539	test_data/identity_034539/sample_0002.jpg	test_data/identity_034539/sample_0026.jpg
1593617	1593622	0.136130	31872	31872	test_data/identity_031872/sample_0017.jpg	test_data/identity_031872/sample_0022.jpg
251620	251647	0.136130	5032	5032	test_data/identity_005032/sample_0020.jpg	test_data/identity_005032/sample_0047.jpg
1982972	1982989	0.136130	39659	39659	test_data/identity_039659/sample_0022.jpg	test_data/identity_039659/sample_0039.jpg
495286	495296	0.136129	9905	9905	test_data/identity_009905/sample_0036.jpg	test_data/identity_009905/sample_0046.jpg
213055	213095	0.136129	4261	4261	test_data/identity_004261/sample_0005.jpg	test_data/identity_004261/sample_0045.jpg
1379500	1379530	0.136129	27590	27590	test_data/identity_027590/sample_0000.jpg	test_data/identity_027590/sample_0030.jpg
215029	215048	0.136129	4300	4300	test_data/identity_004300/sample_0029.jpg	test_data/identity_004300/sample_0048.jpg
909557	909577	0.136128	18191	18191	test_data/identity_018191/sample_0007.jpg	test_data/identity_018191/sample_0027.jpg
37742	37745	0.136127	754	754	test_data/identity_000754/sample_0042.jpg	test_data/identity_000754/sample_0045.jpg
627304	627335	0.136126	12546	12546	test_data/identity_012546/sample_0004.jpg	test_data/identity_012546/sample_0035.jpg
515810	515827	0.136126	10316	10316	test_data/identity_010316/sample_0010.jpg	test_data/identity_010316/sample_0027.jpg
1993901	1993943	0.136126	39878	39878	test_data/identity_039878/sample_0001.jpg	test_data/identity_039878/sample_0043.jpg
230607	230644	0.136126	4612	4612	test_data/identity_004612/sample_0007.jpg	test_data/identity_004612/sample_0044.jpg
1285657	1285660	0.136126	25713	25713	test_data/identity_025713/sample_0007.jpg	test_data/identity_025713/sample_0010.jpg
1006054	1006095	0.136126	20121	20121	test_data/identity_020121/sample_0004.jpg	test_data/identity_020121/sample_0045.jpg
762257	762279	0.136126	15245	15245	test_data/identity_015245/sample_0007.jpg	test_data/identity_015245/sample_0029.jpg
1547898	1547899	0.136126	30957	30957	test_data/identity_030957/sample_0048.jpg	test_data/identity_030957/sample_0049.jpg
1202632	1202646	0.136125	24052	24052	test_data/identity_024052/sample_0032.jpg	test_data/identity_024052/sample_0046.jpg
432051	432061	0.136125	8641	8641	test_data/identity_008641/sample_0001.jpg	test_data/identity_008641/sample_0011.jpg
472224	472244	0.136125	9444	9444	test_data/identity_009444/sample_0024.jpg	test_data/identity_009444/sample_0044.jpg
360664	360672	0.136124	7213	7213	test_data/identity_007213/sample_0014.jpg	test_data/identity_007213/sample_0022.jpg
1033351	1033370	0.136124	20667	20667	test_data/identity_020667/sample_0001.jpg	test_data/identity_020667/sample_0020.jpg
1489568	1489573	0.136124	29791	29791	test_data/identity_029791/sample_0018.jpg	test_data/identity_029791/sample_0023.jpg
1636641	1636647	0.136124	32732	32732	test_data/identity_032732/sample_0041.jpg	test_data/identity_032732/sample_0047.jpg
1021567	1021572	0.136124	20431	20431	test_data/identity_020431/sample_0017.jpg	test_data/identity_020431/sample_0022.jpg
577423	577447	0.136124	11548	11548	test_data/identity_011548/sample_0023.jpg	test_data/identity_011548/sample_0047.jpg
1593968	1593977	0.136124	31879	31879	test_data/identity_031879/sample_0018.jpg	test_data/identity_031879/sample_0027.jpg
1180869	1180897	0.136123	23617	23617	test_data/identity_023617/sample_0019.jpg	test_data/identity_023617/sample_0047.jpg
1464825	1464831	0.136122	29296	29296	test_data/identity_029296/sample_0025.jpg	test_data/identity_029296/sample_0031.jpg
1546900	1546910	0.136122	30938	30938	test_data/identity_030938/sample_0000.jpg	test_data/identity_030938/sample_0010.jpg
757676	757687	0.136122	15153	15153	test_data/identity_015153/sample_0026.jpg	test_data/identity_015153/sample_0037.jpg
1761971	1761991	0.136121	35239	35239	test_data/identity_035239/sample_0021.jpg	test_data/identity_035239/sample_0041.jpg
487559	487564	0.136121	9751	9751	test_data/identity_009751/sample_0009.jpg	test_data/identity_009751/sample_0014.jpg
1929239	1929241	0.136121	38584	38584	test_data/identity_038584/sample_0039.jpg	test_data/identity_038584/sample_0041.jpg
1619610	1619647	0.136121	32392	32392	test_data/identity_032392/sample_0010.jpg	test_data/identity_032392/sample_0047.jpg
408763	408795	0.136121	8175	8175	test_data/identity_008175/sample_0013.jpg	test_data/identity_008175/sample_0045.jpg
540491	540493	0.136121	10809	10809	test_data/identity_010809/sample_0041.jpg	test_data/identity_010809/sample_0043.jpg
81116	81121	0.136120	1622	1622	test_data/identity_001622/sample_0016.jpg	test_data/identity_001622/sample_0021.jpg
1371263	1371288	0.136120	27425	27425	test_data/identity_027425/sample_0013.jpg	test_data/identity_027425/sample_0038.jpg
1809418	1809419	0.136120	36188	36188	test_data/identity_036188/sample_0018.jpg	test_data/identity_036188/sample_0019.jpg
333912	333931	0.136120	6678	6678	test_data/identity_006678/sample_0012.jpg	test_data/identity_006678/sample_0031.jpg
1261935	1261949	0.136120	25238	25238	test_data/identity_025238/sample_0035.jpg	test_data/identity_025238/sample_0049.jpg
1916153	1916190	0.136120	38323	38323	test_data/identity_038323/sample_0003.jpg	test_data/identity_038323/sample_0040.jpg
378502	378540	0.136120	7570	7570	test_data/identity_007570/sample_0002.jpg	test_data/identity_007570/sample_0040.jpg
213965	213976	0.136119	4279	4279	test_data/identity_004279/sample_0015.jpg	test_data/identity_004279/sample_0026.jpg
509619	509645	0.136119	10192	10192	test_data/identity_010192/sample_0019.jpg	test_data/identity_010192/sample_0045.jpg
1243613	1243626	0.136119	24872	24872	test_data/identity_024872/sample_0013.jpg	test_data/identity_024872/sample_0026.jpg
1633970	1633989	0.136119	32679	32679	test_data/identity_032679/sample_0020.jpg	test_data/identity_032679/sample_0039.jpg
18970	18985	0.136118	379	379	test_data/identity_000379/sample_0020.jpg	test_data/identity_000379/sample_0035.jpg
998956	998967	0.136117	19979	19979	test_data/identity_019979/sample_0006.jpg	test_data/identity_019979/sample_0017.jpg
1996106	1996129	0.136117	39922	39922	test_data/identity_039922/sample_0006.jpg	test_data/identity_039922/sample_0029.jpg
367718	367725	0.136117	7354	7354	test_data/identity_007354/sample_0018.jpg	test_data/identity_007354/sample_0025.jpg
1682617	1682632	0.136116	33652	33652	test_data/identity_033652/sample_0017.jpg	test_data/identity_033652/sample_0032.jpg
492795	492798	0.136116	9855	9855	test_data/identity_009855/sample_0045.jpg	test_data/identity_009855/sample_0048.jpg
1311964	1311979	0.136116	26239	26239	test_data/identity_026239/sample_0014.jpg	test_data/identity_026239/sample_0029.jpg
875923	875949	0.136116	17518	17518	test_data/identity_017518/sample_0023.jpg	test_data/identity_017518/sample_0049.jpg
487812	487831	0.136115	9756	9756	test_data/identity_009756/sample_0012.jpg	test_data/identity_009756/sample_0031.jpg
765850	765872	0.136115	15317	15317	test_data/identity_015317/sample_0000.jpg	test_data/identity_015317/sample_0022.jpg
1789213	1789220	0.136115	35784	35784	test_data/identity_035784/sample_0013.jpg	test_data/identity_035784/sample_0020.jpg
624753	624789	0.136115	12495	12495	test_data/identity_012495/sample_0003.jpg	test_data/identity_012495/sample_0039.jpg
1667805	1667817	0.136115	33356	33356	test_data/identity_033356/sample_0005.jpg	test_data/identity_033356/sample_0017.jpg
396862	396883	0.136115	7937	7937	test_data/identity_007937/sample_0012.jpg	test_data/identity_007937/sample_0033.jpg
1511713	1511720	0.136114	30234	30234	test_data/identity_030234/sample_0013.jpg	test_data/identity_030234/sample_0020.jpg
1789387	1789394	0.136114	35787	35787	test_data/identity_035787/sample_0037.jpg	test_data/identity_035787/sample_0044.jpg
1578424	1578447	0.136113	31568	31568	test_data/identity_031568/sample_0024.jpg	test_data/identity_031568/sample_0047.jpg
1211713	1211726	0.136113	24234	24234	test_data/identity_024234/sample_0013.jpg	test_data/identity_024234/sample_0026.jpg
