# kind=neg_above_FP  count=9413
i	j	sim	id_i	id_j	path_i	path_j
5662	6434	0.257820	113	128	test_data/identity_000113/sample_0012.jpg	test_data/identity_000128/sample_0034.jpg
3932	44884	0.257801	78	897	test_data/identity_000078/sample_0032.jpg	test_data/identity_000897/sample_0034.jpg
7743	72321	0.250998	154	1446	test_data/identity_000154/sample_0043.jpg	test_data/identity_001446/sample_0021.jpg
7054	84383	0.270956	141	1687	test_data/identity_000141/sample_0004.jpg	test_data/identity_001687/sample_0033.jpg
7566	119893	0.257430	151	2397	test_data/identity_000151/sample_0016.jpg	test_data/identity_002397/sample_0043.jpg
7892	115899	0.262973	157	2317	test_data/identity_000157/sample_0042.jpg	test_data/identity_002317/sample_0049.jpg
76	136838	0.255080	1	2736	test_data/identity_000001/sample_0026.jpg	test_data/identity_002736/sample_0038.jpg
1788	136680	0.259504	35	2733	test_data/identity_000035/sample_0038.jpg	test_data/identity_002733/sample_0030.jpg
3219	186731	0.251454	64	3734	test_data/identity_000064/sample_0019.jpg	test_data/identity_003734/sample_0031.jpg
302	204595	0.255023	6	4091	test_data/identity_000006/sample_0002.jpg	test_data/identity_004091/sample_0045.jpg
5609	200489	0.252068	112	4009	test_data/identity_000112/sample_0009.jpg	test_data/identity_004009/sample_0039.jpg
5538	252708	0.257200	110	5054	test_data/identity_000110/sample_0038.jpg	test_data/identity_005054/sample_0008.jpg
6360	251304	0.254765	127	5026	test_data/identity_000127/sample_0010.jpg	test_data/identity_005026/sample_0004.jpg
6477	286682	0.251009	129	5733	test_data/identity_000129/sample_0027.jpg	test_data/identity_005733/sample_0032.jpg
6549	330924	0.256542	130	6618	test_data/identity_000130/sample_0049.jpg	test_data/identity_006618/sample_0024.jpg
943	368613	0.255530	18	7372	test_data/identity_000018/sample_0043.jpg	test_data/identity_007372/sample_0013.jpg
1222	368212	0.255229	24	7364	test_data/identity_000024/sample_0022.jpg	test_data/identity_007364/sample_0012.jpg
456	383302	0.276645	9	7666	test_data/identity_000009/sample_0006.jpg	test_data/identity_007666/sample_0002.jpg
1261	420101	0.251537	25	8402	test_data/identity_000025/sample_0011.jpg	test_data/identity_008402/sample_0001.jpg
6326	427150	0.257862	126	8543	test_data/identity_000126/sample_0026.jpg	test_data/identity_008543/sample_0000.jpg
