# kind=pos_above  count=20000
i	j	sim	id_i	id_j	path_i	path_j
1384919	1384944	0.136134	27698	27698	test_data/identity_027698/sample_0019.jpg	test_data/identity_027698/sample_0044.jpg
766360	766365	0.136134	15327	15327	test_data/identity_015327/sample_0010.jpg	test_data/identity_015327/sample_0015.jpg
1324917	1324925	0.136134	26498	26498	test_data/identity_026498/sample_0017.jpg	test_data/identity_026498/sample_0025.jpg
1178056	1178072	0.136135	23561	23561	test_data/identity_023561/sample_0006.jpg	test_data/identity_023561/sample_0022.jpg
254564	254583	0.136135	5091	5091	test_data/identity_005091/sample_0014.jpg	test_data/identity_005091/sample_0033.jpg
303751	303790	0.136136	6075	6075	test_data/identity_006075/sample_0001.jpg	test_data/identity_006075/sample_0040.jpg
985411	985425	0.136137	19708	19708	test_data/identity_019708/sample_0011.jpg	test_data/identity_019708/sample_0025.jpg
815610	815631	0.136138	16312	16312	test_data/identity_016312/sample_0010.jpg	test_data/identity_016312/sample_0031.jpg
435965	435971	0.136138	8719	8719	test_data/identity_008719/sample_0015.jpg	test_data/identity_008719/sample_0021.jpg
898450	898490	0.136138	17969	17969	test_data/identity_017969/sample_0000.jpg	test_data/identity_017969/sample_0040.jpg
101019	101045	0.136138	2020	2020	test_data/identity_002020/sample_0019.jpg	test_data/identity_002020/sample_0045.jpg
340502	340518	0.136138	6810	6810	test_data/identity_006810/sample_0002.jpg	test_data/identity_006810/sample_0018.jpg
212350	212357	0.136138	4247	4247	test_data/identity_004247/sample_0000.jpg	test_data/identity_004247/sample_0007.jpg
1368901	1368947	0.136138	27378	27378	test_data/identity_027378/sample_0001.jpg	test_data/identity_027378/sample_0047.jpg
1289430	1289439	0.136139	25788	25788	test_data/identity_025788/sample_0030.jpg	test_data/identity_025788/sample_0039.jpg
754675	754694	0.136139	15093	15093	test_data/identity_015093/sample_0025.jpg	test_data/identity_015093/sample_0044.jpg
812166	812173	0.136139	16243	16243	test_data/identity_016243/sample_0016.jpg	test_data/identity_016243/sample_0023.jpg
1546160	1546179	0.136139	30923	30923	test_data/identity_030923/sample_0010.jpg	test_data/identity_030923/sample_0029.jpg
670640	670644	0.136139	13412	13412	test_data/identity_013412/sample_0040.jpg	test_data/identity_013412/sample_0044.jpg
711019	711045	0.136139	14220	14220	test_data/identity_014220/sample_0019.jpg	test_data/identity_014220/sample_0045.jpg
174503	174504	0.136139	3490	3490	test_data/identity_003490/sample_0003.jpg	test_data/identity_003490/sample_0004.jpg
1874104	1874141	0.136140	37482	37482	test_data/identity_037482/sample_0004.jpg	test_data/identity_037482/sample_0041.jpg
1462309	1462335	0.136140	29246	29246	test_data/identity_029246/sample_0009.jpg	test_data/identity_029246/sample_0035.jpg
1350361	1350376	0.136140	27007	27007	test_data/identity_027007/sample_0011.jpg	test_data/identity_027007/sample_0026.jpg
1864823	1864834	0.136141	37296	37296	test_data/identity_037296/sample_0023.jpg	test_data/identity_037296/sample_0034.jpg
1601313	1601339	0.136141	32026	32026	test_data/identity_032026/sample_0013.jpg	test_data/identity_032026/sample_0039.jpg
44212	44225	0.136141	884	884	test_data/identity_000884/sample_0012.jpg	test_data/identity_000884/sample_0025.jpg
627761	627788	0.136141	12555	12555	test_data/identity_012555/sample_0011.jpg	test_data/identity_012555/sample_0038.jpg
355072	355075	0.136142	7101	7101	test_data/identity_007101/sample_0022.jpg	test_data/identity_007101/sample_0025.jpg
206817	206825	0.136142	4136	4136	test_data/identity_004136/sample_0017.jpg	test_data/identity_004136/sample_0025.jpg
564701	564709	0.136143	11294	11294	test_data/identity_011294/sample_0001.jpg	test_data/identity_011294/sample_0009.jpg
1196136	1196143	0.136143	23922	23922	test_data/identity_023922/sample_0036.jpg	test_data/identity_023922/sample_0043.jpg
1844937	1844940	0.136143	36898	36898	test_data/identity_036898/sample_0037.jpg	test_data/identity_036898/sample_0040.jpg
1233167	1233186	0.136143	24663	24663	test_data/identity_024663/sample_0017.jpg	test_data/identity_024663/sample_0036.jpg
1671883	1671886	0.136144	33437	33437	test_data/identity_033437/sample_0033.jpg	test_data/identity_033437/sample_0036.jpg
1160502	1160548	0.136144	23210	23210	test_data/identity_023210/sample_0002.jpg	test_data/identity_023210/sample_0048.jpg
1099025	1099047	0.136144	21980	21980	test_data/identity_021980/sample_0025.jpg	test_data/identity_021980/sample_0047.jpg
487581	487595	0.136145	9751	9751	test_data/identity_009751/sample_0031.jpg	test_data/identity_009751/sample_0045.jpg
1098351	1098395	0.136145	21967	21967	test_data/identity_021967/sample_0001.jpg	test_data/identity_021967/sample_0045.jpg
469504	469515	0.136145	9390	9390	test_data/identity_009390/sample_0004.jpg	test_data/identity_009390/sample_0015.jpg
1817664	1817696	0.136145	36353	36353	test_data/identity_036353/sample_0014.jpg	test_data/identity_036353/sample_0046.jpg
1598820	1598828	0.136145	31976	31976	test_data/identity_031976/sample_0020.jpg	test_data/identity_031976/sample_0028.jpg
248402	248418	0.136145	4968	4968	test_data/identity_004968/sample_0002.jpg	test_data/identity_004968/sample_0018.jpg
153162	153173	0.136145	3063	3063	test_data/identity_003063/sample_0012.jpg	test_data/identity_003063/sample_0023.jpg
283112	283130	0.136145	5662	5662	test_data/identity_005662/sample_0012.jpg	test_data/identity_005662/sample_0030.jpg
714707	714720	0.136146	14294	14294	test_data/identity_014294/sample_0007.jpg	test_data/identity_014294/sample_0020.jpg
1293558	1293583	0.136146	25871	25871	test_data/identity_025871/sample_0008.jpg	test_data/identity_025871/sample_0033.jpg
835655	835684	0.136146	16713	16713	test_data/identity_016713/sample_0005.jpg	test_data/identity_016713/sample_0034.jpg
806708	806717	0.136146	16134	16134	test_data/identity_016134/sample_0008.jpg	test_data/identity_016134/sample_0017.jpg
1700353	1700370	0.136146	34007	34007	test_data/identity_034007/sample_0003.jpg	test_data/identity_034007/sample_0020.jpg
765280	765282	0.136146	15305	15305	test_data/identity_015305/sample_0030.jpg	test_data/identity_015305/sample_0032.jpg
1639076	1639077	0.136147	32781	32781	test_data/identity_032781/sample_0026.jpg	test_data/identity_032781/sample_0027.jpg
1622100	1622118	0.136147	32442	32442	test_data/identity_032442/sample_0000.jpg	test_data/identity_032442/sample_0018.jpg
1974363	1974365	0.136147	39487	39487	test_data/identity_039487/sample_0013.jpg	test_data/identity_039487/sample_0015.jpg
1558353	1558360	0.136147	31167	31167	test_data/identity_031167/sample_0003.jpg	test_data/identity_031167/sample_0010.jpg
244802	244821	0.136148	4896	4896	test_data/identity_004896/sample_0002.jpg	test_data/identity_004896/sample_0021.jpg
1946306	1946325	0.136148	38926	38926	test_data/identity_038926/sample_0006.jpg	test_data/identity_038926/sample_0025.jpg
844832	844838	0.136148	16896	16896	test_data/identity_016896/sample_0032.jpg	test_data/identity_016896/sample_0038.jpg
1799876	1799878	0.136148	35997	35997	test_data/identity_035997/sample_0026.jpg	test_data/identity_035997/sample_0028.jpg
1982308	1982314	0.136148	39646	39646	test_data/identity_039646/sample_0008.jpg	test_data/identity_039646/sample_0014.jpg
725419	725435	0.136148	14508	14508	test_data/identity_014508/sample_0019.jpg	test_data/identity_014508/sample_0035.jpg
957104	957125	0.136149	19142	19142	test_data/identity_019142/sample_0004.jpg	test_data/identity_019142/sample_0025.jpg
1203905	1203921	0.136149	24078	24078	test_data/identity_024078/sample_0005.jpg	test_data/identity_024078/sample_0021.jpg
717415	717437	0.136149	14348	14348	test_data/identity_014348/sample_0015.jpg	test_data/identity_014348/sample_0037.jpg
1577912	1577920	0.136150	31558	31558	test_data/identity_031558/sample_0012.jpg	test_data/identity_031558/sample_0020.jpg
